umap_n_neighbors,umap_n_components,min_topic_size,min_samples,epsilon,metodo,n_topicos,pct_outliers,tamano_mediano,tamano_min,tamano_max,pct_topicos_pequenos,cobertura_util,concentracion_mayor,silueta,score,cumple_criterios
30,5,150,7,0.3,eom,3,3.64,822.0,220,18219,0.0,96.36,91.15,-0.1488,0.6953,False
30,5,125,7,0.3,eom,3,3.64,822.0,220,18219,0.0,96.36,91.15,-0.1488,0.6953,False
30,5,150,5,0.3,eom,3,3.25,821.0,222,18296,0.0,96.75,91.53,-0.1594,0.6937,False
30,5,125,5,0.3,eom,3,3.25,821.0,222,18296,0.0,96.75,91.53,-0.1594,0.6937,False
30,5,100,3,0.3,eom,3,1.79,823.0,111,18698,0.0,98.21,93.54,-0.1682,0.6891,False
30,5,75,3,0.0,eom,45,44.25,172.0,80,1316,0.0,55.75,6.58,0.4986,0.688,False
30,5,75,3,0.1,eom,45,44.25,172.0,80,1316,0.0,55.75,6.58,0.4986,0.688,False
30,5,100,1,0.3,eom,3,1.17,818.0,110,18827,0.0,98.83,94.19,-0.171,0.6875,False
30,5,75,10,0.0,eom,41,46.49,214.0,76,1107,0.0,53.51,5.54,0.5113,0.6872,False
30,5,75,10,0.1,eom,41,46.49,214.0,76,1107,0.0,53.51,5.54,0.5113,0.6872,False
30,5,50,1,0.1,eom,69,37.07,110.0,51,1397,0.0,62.93,6.99,0.4171,0.6826,False
30,5,150,3,0.3,eom,2,2.34,9760.5,823,18698,0.0,97.66,93.54,0.1592,0.6824,False
30,5,125,3,0.3,eom,2,2.34,9760.5,823,18698,0.0,97.66,93.54,0.1592,0.6824,False
30,5,150,1,0.3,eom,2,1.72,9822.5,818,18827,0.0,98.28,94.19,0.1649,0.6815,False
30,5,125,1,0.3,eom,2,1.72,9822.5,818,18827,0.0,98.28,94.19,0.1649,0.6815,False
30,5,50,1,0.0,eom,70,37.2,109.0,51,1397,0.0,62.8,6.99,0.4267,0.6811,False
30,5,75,5,0.0,eom,44,46.06,152.0,75,905,0.0,53.94,4.53,0.468,0.6765,False
30,5,75,5,0.1,eom,44,46.06,152.0,75,905,0.0,53.94,4.53,0.468,0.6765,False
30,5,50,10,0.0,eom,52,45.8,127.0,51,1107,0.0,54.2,5.54,0.5126,0.6597,False
30,5,50,10,0.1,eom,52,45.8,127.0,51,1107,0.0,54.2,5.54,0.5126,0.6597,False
30,5,50,7,0.0,eom,56,46.91,115.5,50,1226,0.0,53.09,6.13,0.5184,0.644,False
30,5,50,7,0.1,eom,56,46.91,115.5,50,1226,0.0,53.09,6.13,0.5184,0.644,False
30,5,50,3,0.0,eom,63,44.74,109.0,50,880,0.0,55.26,4.4,0.4522,0.6415,False
30,5,50,3,0.1,eom,63,44.74,109.0,50,880,0.0,55.26,4.4,0.4522,0.6415,False
30,5,50,5,0.0,eom,57,47.85,126.0,55,905,0.0,52.15,4.53,0.515,0.6354,False
30,5,50,5,0.1,eom,57,47.85,126.0,55,905,0.0,52.15,4.53,0.515,0.6354,False
